komishinichatti	ኮሚሺኒቸቲ
gorsaa	ጎርሳ
ol	ኦል
aanaa	ኣና
dhimmoota	ዲሞተ
miidiyaafi	ሚዲያፊ
komunikeeshinii	ኮሙኒኬሺኒ
obbo	ኦብቦ
aaroon	ኣሮን
maashoo	ማሾ
bbctti	ብብጭቲ
akka	አከ
himan	ሂመን
haleellaa	ሀሌላ
wiixata	ዊጠተ
raawwateen	ራወቴን
lubbuun	ሉቡን
namoota	ነሞተ
darbeera	ደርቤረ
haleellaan	ሀሌላን
kunis	ኩኒስ
benishaangul	ቤኒሻንግል
gumuz	ግሙz
aanaa	ኣና
dibaaxii	ዲባጢ
magaalaa	መጋላ
xiqqoo	ጢቆ
daalattii	ዳለቲ
jedhamuttidha	ጄዳሙቲዳ
obbo	ኦብቦ
maashoon	ማሾን
akka	አከ
jedhanitti	ጄዳኒቲ
namootni	ነሞትኒ
ajjeefaman	አጄፈመን
umuriin	ኡሙሪን
isaanii	ኢሳኒ
waggaa	ወጋ
gidduu	ጊዱ
kan	ከን
jiranidha	ጂረኒዳ
haleellaan	ሀሌላን
kun	ኩን
hidhattoota	ሂዳቶተ
naannicha	ናኒቸ
keessa	ኬሰ
jiraniin	ጂረኒን
irra	ኢረ
dedeebiin	ዴዴቢን
raawwataa	ራወታ
akka	አከ
jiru	ጂሩ
jiraattotni	ጂራቶትኒ
bbc	ብብጭ
n	ን
dubbise	ዱቢሴ
himaniiru	ሂመኒሩ
dabalataan	ደበለታን
mootummaan	ሞቱማን
federaalaa	ፌዴራላ
fi	ፊ
naannoo	ናኖ
benishaangul	ቤኒሻንግል
gumuz	ግሙz
qindoomina	ቂንዶሚነ
cimaan	ጪማን
tarkaanfii	ተርካንፊ
fudhachuu	ፉዳቹ
qabu	ቀቡ
jedhan	ጄዳን
obbo	ኦብቦ
maashoon	ማሾን
dabalataan	ደበለታን
haleellaa	ሀሌላ
guyyaa	ግያ
lama	ለመ
darbe	ደርቤ
godina	ጎዲነ
matakkalitti	መተከሊቲ
hidhattoonni	ሂዳቶኒ
raawwataniin	ራወተኒን
bakka	በከ
tokko	ቶኮ
qofatti	ቆፈቲ
namoonni	ነሞኒ
ol	ኦል
ajjeefamuu	አጄፈሙ
jiraattonni	ጂራቶኒ
bbc	ብብጭ
tti	ቲ
himan	ሂመን
akka	አከ
jiraataa	ጂራታ
maqaansaa	መቃንሳ
akka	አከ
hineeramne	ሂኔረምኔ
gaafate	ጋፈቴ
kanaatti	ከናቲ
gochichi	ጎቺቺ
ajjeechaa	አጄቻ
kun	ኩን
kan	ከን
raawwate	ራወቴ
godina	ጎዲነ
matakkal	መተከል
aanaa	ኣና
gubaa	ግባ
ganda	ገንደ
ayibishbish	አይቢሽቢሽ
jedhamtu	ጄዳምቱ
keessatti	ኬሰቲ
namoota	ነሞተ
nagaa	ነጋ
tu	ቱ
ajjeefame	አጄፈሜ
namoonni	ነሞኒ
kunneen	ኩኔን
daa	ዳ
ima	ኢመ
haati	ሃቲ
baattee	ባቴ
turte	ቱርቴ
dabalateeti	ደበለቴቲ
haadhuma	ሃዱመ
waliin	ወሊን
ajjeefame	አጄፈሜ
jedhe	ጄዴ
namni	ነምኒ
dubbise	ዱቢሴ
haleellaan	ሀሌላን
kun	ኩን
wiixata	ዊጠተ
ganama	ገነመ
amajji	አመጁ
bara	በረ
aatii	ኣቲ
irratti	ኢረቲ
raawwatamuu	ራወተሙ
jiraataan	ጂራታን
kun	ኩን
himeera	ሂሜረ
namoonni	ነሞኒ
achi	አቺ
jiran	ጂረን
bilbilanii	ቢልቢለኒ
nutti	ኑቲ
himanii	ሂመኒ
raayyaa	ራያ
ittisaa	ኢቲሳ
waliin	ወሊን
birmannee	ቢርመኔ
dhaqnee	ዳቅኔ
reeffa	ሬፈ
isaanii	ኢሳኒ
kaasnee	ካስኔ
bataskaanaa	በተስካና
achi	አቺ
jiru	ጂሩ
tokkotti	ቶኮቲ
awwaalle	አዋሌ
jedhu	ጄዱ
jiraataan	ጂራታን
kun	ኩን
kana	ከነ
malees	መሌስ
manneen	መኔን
jireenyaa	ጂሬኛ
gubachuu	ግበቹ
fi	ፊ
hidhattoonni	ሂዳቶኒ
erga	ኤርገ
miidhaa	ሚዳ
qaqabsiisaniin	ቀቀብሲሰኒን
booda	ቦደ
qabeenya	ቀቤኘ
namoota	ነሞተ
naannoo	ናኖ
sanaa	ሰና
harrootatti	ሀሮተቲ
fe	ፌ
atanii	አተኒ
deemaniiru	ዴመኒሩ
jechuun	ጄቹን
haala	ሃለ
taajjaban	ታጀበን
himu	ሂሙ
rakkoon	ረኮን
nageenyaa	ነጌኛ
matakkal	መተከል
furmaata	ፉርማተ
waara	ዋረ
aa	ኣ
maaliif	ማሊፍ
dhibe	ዲቤ
ijoollee	ኢጆሌ
koo	ኮ
sagalii	ሰገሊ
fi	ፊ
haadha	ሃዳ
manaa	መና
kiyya	ኪየ
na	ነ
fuulduratti	ፉልዱረቲ
ajjeesan	አጄሰን
jiraataa	ጂራታ
matakkal	መተከል
kana	ከነ
malees	መሌስ
guyyoota	ግዮተ
